gameweek,player_id,web_name,position,xPoints,now_cost,blend_rank,minutes,actual_points
1,1,Raya,GKP,4.0,,,90,6
1,4,Gabriel,DEF,4.0,,,90,5
1,411,Haaland,FWD,4.0,,,90,2
1,426,B.Fernandes,MID,4.0,,,90,2
1,226,Pickford,GKP,3.3,,,90,7
1,350,A.Becker,GKP,3.3,,,90,2
1,384,Donnarumma,GKP,3.3,,,90,3
1,12,Saka,MID,3.2,,,67,9
1,154,Palmer,MID,3.2,,,82,13
1,356,Virgil,DEF,3.1,,,90,2
1,387,O'Reilly,DEF,3.1,,,62,2
1,397,Semenyo,MID,2.9,,,90,2
1,200,Lacroix,DEF,2.8,,,90,6
1,229,Tarkowski,DEF,2.8,,,90,6
1,388,Guéhi,DEF,2.8,,,90,10
1,389,Matheus N.,DEF,2.8,,,33,1
1,427,Mbeumo,MID,2.8,,,90,2
1,428,Cunha,MID,2.8,,,79,2
1,480,Gibbs-White,MID,2.8,,,90,2
1,498,Senesi,DEF,2.8,,,90,3
1,379,Isak,FWD,2.7,,,90,2
1,2,Arrizabalaga,GKP,2.6,,,0,0
1,3,Meslier,GKP,2.6,,,0,0
1,13,Rice,MID,2.6,,,67,3
1,28,Martinez,GKP,2.6,,,0,0
1,597,Suzuki,GKP,2.6,,,0,0
1,82,Kelleher,GKP,2.6,,,90,7
1,40,Rogers,MID,2.6,,,81,8
1,140,Sánchez,GKP,2.6,,,90,2
1,227,Travers,GKP,2.6,,,0,0
1,385,Trafford,GKP,2.6,,,90,9
1,351,Mamardashvili,GKP,2.6,,,0,0
1,366,Wirtz,MID,2.6,,,62,2
1,399,Cherki,MID,2.6,,,27,8
1,587,Rulli,GKP,2.6,,,0,0
1,412,Lammens,GKP,2.6,,,90,1
1,442,Pope,GKP,2.6,,,0,0
1,567,Horníček,GKP,2.6,,,90,1
1,467,Sels,GKP,2.6,,,90,2
1,529,Roefs,GKP,2.6,,,90,1
1,8,Calafiori,DEF,2.5,,,80,9
1,9,Hincapie,DEF,2.5,,,9,1
1,10,White,DEF,2.5,,,90,11
1,11,Mosquera,DEF,2.5,,,90,6
1,55,Watkins,FWD,2.5,,,0,0
1,60,Hill,DEF,2.5,,,90,1
1,61,Truffert,DEF,2.5,,,90,1
1,84,Collins,DEF,2.5,,,90,6
1,106,Thiago,FWD,2.5,,,82,0
1,142,James,DEF,2.5,,,90,0
1,152,Palestra,DEF,2.5,,,0,0
1,155,Enzo,MID,2.5,,,25,1
1,201,Muñoz,DEF,2.5,,,54,0
1,230,Branthwaite,DEF,2.5,,,90,6
1,357,Frimpong,DEF,2.5,,,90,0
1,358,Kerkez,DEF,2.5,,,90,0
1,367,Gakpo,MID,2.5,,,90,12
1,368,Szoboszlai,MID,2.5,,,90,8
1,579,Araujo,DEF,2.5,,,20,1
1,390,Rúben,DEF,2.5,,,90,2
1,391,Gvardiol,DEF,2.5,,,90,9
1,392,Aït-Nouri,DEF,2.5,,,0,0
